GET / 404 - 18ms
GET /api/REST 404 - 9ms
POST /REST 200 - 27ms
POST /GraphQL 200 - 4ms
POST /gRPC%0A 400 - 4ms
POST /gRPC%0A 400 - 1ms
POST /GraphQL 200 - 3ms
POST /gRPC%0A 400 - 2ms
POST /gRPC%0A 400 - 3ms
POST /gRPC%0A 400 - 1ms
POST /gRPC%0A 400 - 13ms
POST /gRPC%0A 400 - 16ms
POST /size 400 - 483ms
POST /random 400 - 47ms
POST /custom 400 - 8ms
POST /REST 200 - 4ms
POST /GraphQL 200 - 4ms
POST /gRPC%0A 400 - 2ms
POST /gRPC%0A 400 - 16ms
POST /gRPC%0A 400 - 2ms
POST /gRPC%0A 400 - 33ms
POST /gRPC 200 - 16ms
POST /gRPC 200 - 1ms
POST /size 400 - 3ms
POST /size 400 - 2ms
POST /size 400 - 1ms
POST /size 200 - 16ms
POST /size 200 - 2ms
POST /REST 200 - 6ms
POST /GraphQL 200 - 2ms
POST /gRPC 200 - 1ms
POST /size 200 - 2ms
POST /random 400 - 1ms
POST /random 200 - 12ms
POST /size 200 - 2ms
POST /custom 400 - 1ms
POST /custom 400 - 2ms
POST /custom 200 - 118ms
POST /REST 200 - 2ms
POST /GraphQL 200 - 2ms
POST /gRPC 200 - 3ms
POST /size 200 - 3ms
POST /random 200 - 2ms
POST /custom 200 - 117ms
POST /custom 200 - 148ms
POST /fifo 400 - 56ms
POST /fifo 200 - 12ms
POST /priority 200 - 3ms
POST /fifo 200 - 2ms
POST /priority 200 - 5ms
POST /roundrobin 200 - 8ms
POST /random 200 - 33ms
POST /random 200 - 20ms
POST /fifo 200 - 50ms
POST /priority 200 - 4ms
POST /roundrobin 200 - 3ms
POST /random 200 - 15ms
POST /custom 200 - 115ms
POST /size 200 - 3ms
